object_id,period,dimensions,classification,curatorial_description,num_images,all_image_urls,map_url
45673,Ming dynasty (1368–1644),Image: 13 13/16 in. x 18 ft. 8 3/8 in. (35.1 x 569.9 cm) | Overall with mounting: 16 5/16 in. x 35 ft. 1/4 in. (41.4 x 1067.4 cm),Paintings,"Inscription: Artist’s signature (1 column in standard script)Xigu, Li Tang晞古李唐Label stripNagao Kō 長尾甲 （Japanese, 1864–1942）, 1 column in standard script, undated; 1 seal:李晞古四時山水卷老雨署。   [印]： 長尾甲印Colophons1",0,,
45965,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 9 in. (22.9 cm),Ceramics,"Vase with entwined dragon Qing dynasty (1644–1911), Kangxi period (1662–1722) late 17th–early 18th century China Porcelain painted in overglaze...",0,,
45753,Edo period (1615–1868),Overall: 13 x 257 1/4 in. (33 x 653.4 cm) | ,Paintings,"In Edo-period Kyoto, where townspeople, court nobles, and temples and shrines coexisted, a vibrant network of industries and lively markets flourished....",0,,
46904,"Qing dynasty (1644–1911), Qianlong period (1736–95)",Diam. 4 5/8 in. (11.7 cm),Ceramics,"Saucer with Butterflies Qing dynasty (1644–1911), Qianlong period (1736–95) 18th century China Porcelain painted with colored enamels and gilded...",0,,
46905,"Qing dynasty (1644–1911), Qianlong period (1736–95)",H. 1 5/8 in. (4.1 cm); Diam. 2 3/4 in. (7 cm),Ceramics,"Cup with Butterflies Qing dynasty (1644–1911), Qianlong period (1736–95) 18th century China Porcelain painted with colored enamels and gilded...",0,,
46915,"Qing dynasty (1644–1911), Qianlong mark and period (1736–95)",H. 11 3/8 in. (28.9 cm); Diam. of rim 5 1/2 in. (14 cm); Diam. of foot 3 7/8 in. (9.8 cm),Ceramics,"Known as gu, this type of ritual vessel was used for pouring wine during the Shang dynasty (ca. 1600–1046 B.C.). The earliest objects were cast in...",0,,
46509,Edo period (1615–1868),H. 1 1/4 in. (3.2 cm); W. 8 in. (20.3 cm); L. 11 3/8 in. (28.9 cm),Ceramics,"The court women of the Heian period (794–1185), characterized by their long flowing hair and multilayered clothing with elaborate and brilliantly...",0,,
47258,Edo period (1615–1868),H. 5 3/4 in. (14.6 cm); Diam. 4 5/8 in. (11.7 cm),Ceramics,Sake Bottle (Tokkuri) in the Shape of an Eggplant Edo period (1615–1868) second half 19th century Japan Stoneware with iridescent iron glaze and rice...,0,,
47320,"Qing dynasty (1644–1911), Qianlong mark and  period (1736–95)",H. with stand: 8 in. (20.3 cm); Diam. 6 in. (15.2 cm); Diam. of rim 3 1/16 in. (7.8 cm); Diam. of foot 4 in. (10.2 cm),Ceramics,This exquisite vase is among the finest enamel wares produced by the imperial porcelain factory in the eighteenth century. The then-newly invented pink...,0,,
47429,"Qing dynasty (1644–1911),  Kangxi period (1662–1722)",H. 8 7/8 in. (22.5 cm),Ceramics,"Vase with scholars in a garden Qing dynasty (1644–1911), Kangxi period (1662–1722) late 17th–early 18th century China Porcelain painted in underglaze...",0,,
63648,Edo period (1615–1868),H. 2 3/8 in. (6 cm); Diam. 11 in. (27.9 cm),Ceramics,Ishizara with Warbler on a Flowering Plum Branch Edo period (1615–1868) early 19th century Japan Stoneware with iron brown and cobalt blue under...,0,,
63651,Edo period (1615–1868),H. 2 in. (5.1 cm); Diam. 10 1/4 in. (26 cm),Ceramics,Ishizara with Horse and “Horse-Eye” Pattern Edo period (1615–1868) early 19th century Japan Stoneware with iron brown under transparent glaze (Seto...,0,,
63652,Edo period (1615–1868),H. 1 3/4 in. (4.4 cm); Diam. 8 3/8 in. (21.3 cm),Ceramics,Ishizara with “Horse-Eye” Pattern Edo period (1615–1868) early 19th century Japan Stoneware with iron brown under transparent glaze (Seto ware) H. 1 3/4...,0,,
63696,Edo period (1615–1868),H. 2 1/4 in. (5.7 cm); Diam. 7 1/8 in. (18.1 cm),Ceramics,Set of Three Everyday Vessels (Kurawanka Bowls) with Flowers Edo period (1615–1868) late 18th–early 19th century Japan Porcelain with cobalt blue under...,0,,
63698,Edo period (1615–1868),H. 2 in. (5.1 cm); Diam. 7 in. (17.8 cm),Ceramics,Set of Three Everyday Vessels (Kurawanka Bowls) with Flowers Edo period (1615–1868) late 18th–early 19th century Japan Porcelain with cobalt blue under...,0,,
63699,Edo period (1615–1868),H. 2 in. (5.1 cm); Diam. 7 1/8 in. (18.1 cm),Ceramics,Set of Three Everyday Vessels (Kurawanka Bowls) with Flowers Edo period (1615–1868) late 18th–early 19th century Japan Porcelain with cobalt blue under...,0,,
63701,middle Edo period (1615–1868),Diam. 3 7/8 in. (9.8 cm),Ceramics,"These bowls, mass-produced in Hasami, are of a type of multipurpose, inexpensive tableware used by commoners of the late Edo period. Known as kurawanka,...",0,,
63702,middle Edo period (1615–1868),Diam. 3 7/8 in. (9.8 cm),Ceramics,"These bowls, mass-produced in Hasami, are of a type of multipurpose, inexpensive tableware used by commoners of the late Edo period. Known as kurawanka,...",0,,
63706,middle Edo period (1615–1868),Diam. 3 7/8 in. (9.8 cm),Ceramics,"These bowls, mass-produced in Hasami, are of a type of multipurpose, inexpensive tableware used by commoners of the late Edo period. Known as kurawanka,...",0,,
63711,middle Edo period (1615–1868),H. 2 1/8 inb. (5.4 cm); Diam. 2 5/8 in. (6.7 cm),Ceramics,Buckwheat noodles (soba-kiri) were devised for common consumption in the late sixteenth century and became a staple of vegetarian meals offered at...,0,,
63713,middle Edo period (1615–1868),H. 2 1/4 in. (5.7 cm); Diam. 2 5/8 in. (6.7 cm),Ceramics,Buckwheat noodles (soba-kiri) were devised for common consumption in the late sixteenth century and became a staple of vegetarian meals offered at...,0,,
63714,middle Edo period (1615–1868),H. 2 1/4 in. (5.7 cm); Diam. 2 3/4 in. (6.9 cm),Ceramics,Buckwheat noodles (soba-kiri) were devised for common consumption in the late sixteenth century and became a staple of vegetarian meals offered at...,0,,
63733,middle Edo period (1615–1868),H. 2 in. (5.1 cm); Diam. 3 in. (7.6 cm),Ceramics,"The bucket-like, inverted-trapezoid shape emerged in seventeenth-century tableware used on individual trays at formal samurai meals, rather than as cups...",0,,
63735,middle Edo period (1615–1868),H. 2 in. (5.1 cm); Diam. 3 in. (7.6 cm),Ceramics,"The bucket-like, inverted-trapezoid shape emerged in seventeenth-century tableware used on individual trays at formal samurai meals, rather than as cups...",0,,
63736,middle Edo period (1615–1868),H. 2 in. (5.1 cm); Diam. 3 in. (7.6 cm),Ceramics,"The bucket-like, inverted-trapezoid shape emerged in seventeenth-century tableware used on individual trays at formal samurai meals, rather than as cups...",0,,
63744,Edo period (1615–1868),H. 2 in. (5.1 cm); Diam. 3 1/8 in. (7.9 cm),Ceramics,"Among the mukōzuke were cups featuring low, inset foot rings and outward-curving or hazori-gata (literally, “flared-rim shape”) lips. Diminutive...",0,,
63748,Edo period (1615–1868),H. 2 1/4 in. (5.7 cm); Diam. 3 1/8 in. (7.9 cm),Ceramics,"Among the mukōzuke were cups featuring low, inset foot rings and outward-curving or hazori-gata (literally, “flared-rim shape”) lips. Diminutive...",0,,
63530,Edo period (1615–1868),H. 3 3/8 in. (8.6 cm); Diam. 12 3/4 in. (32.4 cm),Ceramics,Dish with Assorted Treasures Floating on Waves Edo period (1615–1868) late 17th–early 18th century Japan Porcelain with cobalt blue under transparent...,0,,
63532,,H. 27 in. (68.6 cm); W. 19 1/4 in. (48.9 cm),Sculpture,"Seated Buddha 15th century Thailand Bronze H. 27 in. (68.6 cm); W. 19 1/4 in. (48.9 cm) Sculpture Purchase, The J. H. W. Thompson Foundation Gift and...",0,,
63565,Edo period (1615–1868),H. 5 3/4 in. (14.6 cm); Diam. 5 1/4 in. (13.3 cm); Diam. of rim 3 3/4 in. (9.5 cm); Diam. of foot 2 1/2 in. (6.4 cm),Ceramics,"Jar (Tsubo) with Stylized Net Design Edo period (1615–1868) ca. 1620–40 Japan Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita...",0,,
63589,Edo period (1615–1868),H. 1 in. (2.5 cm); Diam. 3 1/8 in. (7.9 cm),Ceramics,This set of small dishes represents the early phase of blue-and-white porcelain production in Arita. The painterly design of blossoming plum branches...,0,,
63590,Edo period (1615–1868),H. 1 in. (2.5 cm); Diam. 3 1/8 in. (7.9 cm),Ceramics,This set of small dishes represents the early phase of blue-and-white porcelain production in Arita. The painterly design of blossoming plum branches...,0,,
63600,early Edo period (1615–1868),H. 1 in. (2.5 cm); Diam. 5 1/2 in. (14 cm),Ceramics,Set of Five Small Dishes (Kozara) with Turnip early Edo period (1615–1868) mid-17th century Japan Porcelain with cobalt blue under transparent glaze...,0,,
63601,early Edo period (1615–1868),H. 1 1/2 in. (3.8 cm); Diam. 5 3/4 in. (14.6 cm),Ceramics,Set of Five Small Dishes (Kozara) with Turnip early Edo period (1615–1868) mid-17th century Japan Porcelain with cobalt blue under transparent glaze...,0,,
63624,Edo period (1615–1868),H. 1 1/8 in. (2.9 cm); W. 5 in. (12.7 cm); L. 6 3/8 in. (16.2 cm),Ceramics,"Early Nabeshima porcelain dishes, produced at the daimyos’ Iwayagawachi kiln in Arita, were typically small, irregularly shaped, colorful vessels. Among...",0,,
64116,Mon-Dvaravati period,H. 2 3/4 in. (7cm); W. 2in. (5.1 cm); D. 1/2 in. (1.3 cm),Sculpture,"A sizable number of Mon-style plaques of the seventh to ninth century, rich in iconographic variation, have survived from Thailand. These portable,...",0,,
64117,Mon-Dvaravati period,H. 2 7/8 in. (7.3 cm); W. 2 1/16 in. (5.2 cm); D. 1/2 in. (1.3 cm),Sculpture,"A sizable number of Mon-style plaques of the seventh to ninth century, rich in iconographic variation, have survived from Thailand. These portable,...",0,,
64118,Mon-Dvaravati period,H. 5 5/8 in. (14.3 cm); W. 3 1/2 in. (8.9 cm); D. 1/2 in. (1.3 cm),Sculpture,The Miracle of Shravasti Mon-Dvaravati period 7th–9th century Thailand Terracotta H. 5 5/8 in. (14.3 cm); W. 3 1/2 in. (8.9 cm); D. 1/2 in. (1.3 cm)...,0,,
64119,Northern Qi dynasty (550–577),H. 4 3/4 in. (12.1 cm),Ceramics,"Both the shape and decoration show foreign influence: the shape is based on a West Asian pilgrim’s flask, while the whirling dancer is performing a...",0,,
64386,Central Javanese period,H. 8 7/8 in. (22.5 cm); Diam. of base 2 7/8 in. (7.3 cm),Sculpture,"Standing Manjushri, the Bodhisattva of Infinite Wisdom Central Javanese period ca. mid–9th century Indonesia (Java) Bronze H. 8 7/8 in. (22.5 cm); Diam....",0,,
64872,Edo period (1615–1868),Image: 12 5/16 in. × 16 ft. 7 15/16 in. (31.3 × 507.8 cm) | Overall with mounting: 12 13/16 in. × 16 ft. 7 15/16 in. (32.5 × 507.8 cm),Paintings,"This work closely follows a painting in the Tokugawa Art Museum in Nagoya, by Genki’s teacher, Maruyama Ōkyo (1733–1795). The scenes illustrate aspects...",0,,
64920,Eastern Jin dynasty (317–420),H. 2 3/4 in. (7 cm); W. 2 1/2 in. (6.5 cm),Metalwork,This plaque once decorated the hat of a government official. It features a cicada— an emblem of immortality—framed by semi-precious stones.,0,,
64922,Edo period (1615–1868),H. 9 1/4 in. (23.5 cm); Diam. of rim: 1 1/8 in. (2.9 cm); Diam. of base: 3 3/16 in. (8.1 cm),Glass,This gracefully formed sake bottle is a characteristic example of Edo-period free-blown glass. A similar vessel appears on the first advertising and...,0,,
65006,Qing dynasty (1644–1911),H. 9 1/2 in. (24.1 cm); W. 6 in. (15.2 cm); D. 3 3/4 in. (9.5 cm),Ceramics,Daoist deity Zhenwu with two attendants Qing dynasty (1644–1911) 17th century China Porcelain with turquoise and aubergine glazes (Jingdezhen ware) H. 9...,0,,
65010,Shunga period,1 15/16 x 3 1/16 in. (4.9 x 7.8 cm),Ivories,The sky deity portrayed here is first mentioned in the Vedic hymns of about 1500 B.C. and was eventually incorporated into the Hindu pantheon.,0,,
65086,Edo period (1615–1868),Overall: 42 x 78in. (106.7 x 198.1cm),Costumes,"The kesa is a rectangular robe worn by Buddhist monks in Japan, draped over the left shoulder. The garb’s construction and symbolism reflect evolving...",0,,
65095,Angkor period,H. 25 in. (63.5 cm); W. 13¼ in. (33.7 cm); D. 9½ in. (24.1 cm),Sculpture,Antefix with Kneeling Guardian Angkor period third quarter of the 10th century Cambodia Reddish sandstone H. 25 in. (63.5 cm); W. 13¼ in. (33.7 cm); D....,0,,
65100,Tang dynasty (618–907),H. 20 1/16 in. (51 cm); W. of base: 9 5/8 in. (24.4 cm); Diam. of base: 5 3/8 in. (13.7 cm),Sculpture,"This standing attendant is likely a rare representation of a non-Han Chinese figure from the north, as suggested by his plump face with narrowed eyes,...",0,,
65256,,H. 4 in. (10.2 cm); W. 3 3/4 in. ( 9.5 cm) | ,Metalwork,"The horse-drawn chariot was introduced to China from the West in the second millennium BCE, likely through the nomadic peoples of the Eurasian steppes....",0,,
65348,Sui (581–618)–Tang (618–907) dynasty,H. 3 1/2  in. (8.9 cm);  W. 9 1/4  in. (23.5 cm); L. 11 5/8 in. (29.5 cm),Ceramics,"Turtles and tortoises, symbols of longevity and endurance, have long been associated with divination in ancient China. Here, the shell is engraved with...",0,,
65556,,H. 7 3/4 in. (19.7 cm); W. 2 in. (5.1 cm); D. 1 in. (2.5 cm),Metalwork,"Provenance Information: Unknown prior to its publication in the 1990 auction sale catalogue for Hapsburg Feldman S.A. Geneva, Gold, important ancient and ethic jewellery and work of art in precious metals, sale catalogue, May 14, 1990, lot 96; Purchased from the Hapsburg Feldman sale in 1990 by Jonathan Rosen, New York; Collection of Jonathon Rosen, New York, 1990 to 2015; given by Mr",0,,
65599,Ming dynasty (1368–1644),H. to top of spout 7 in. (17.8 cm); L. 6 1/2 in. (16.5 cm),Ceramics,Elephant-Shaped Kendi Drinking Vessel Ming dynasty (1368–1644) late 16th century China Porcelain painted in underglaze blue H. to top of spout 7 in....,0,,
65605,,H. 3 1/2 in. (8.7 cm); W. 2 7/8 in. (7.3 cm); D. 1/2 in. (1.3 cm),Sculpture,"The monks depicted here are dressed in the robes of the Karma tradition of Tibetan Buddhism, and the central figure likely represents Mikyo Dorje...",0,,
65696,,H. 7 in. (17.8 cm); W. 3 13/16 in. (9.7 cm); D. 3 1/4 in. (8.3 cm),Sculpture,"A wide-eyed mahasiddha plays symbols and sings ecstatically. Such yogis belong to an Indian tradition of eccentric practitioners of Tantrism, much...",0,,
48373,Southern Song dynasty (1127–1279),H. 1 7/8 in. (4.8 cm); Diam. 5 in. (12.7 cm),Ceramics,"Refined, pale bluish-green celadon wares like this tea bowl are characteristic of ceramics produced at the Longquan kilns. Chinese celadons have been...",0,,
48503,Song dynasty (960–1279),3 5/8 x 1 7/8 in. (9.2 x 4.8 cm),Ceramics,"Sherd Song dynasty (960–1279) China Stoneware; Guan ware 3 5/8 x 1 7/8 in. (9.2 x 4.8 cm) Ceramics Gift of Judge Edgar Bromberger, 1942 42.18.3",0,,
48559,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 14 1/2 in. (36.8 cm); Diam. 7 1/2 in. (19.1 cm); Diam. of rim: 2 1/16 in. (5.2 cm); Diam. of foot: 4 3/4 in. (12.1 cm),Ceramics,"Beyond the appeal of its sinuous form and elegant blue-and-white decoration, this gourd-shaped vase would have been treasured for the layers of...",0,,
48597,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 17 5/8 in. (44.8 cm); Diam. 8 in. (20.3 cm); Diam. of rim 5 1/16 in. (12.9 cm); Diam. of foot 5 1/2 in. (14 cm),Ceramics,"This vase features a garden scene of women enjoying fragrant flowers, burning incense, and playing with children. The rich colors, including the deep...",0,,
47636,Edo period (1615–1868),H. 3 3/4 in. (9.5 cm); Diam. 5 3/4 in. (14.6 cm),Ceramics,Used-Water Container (Kensui) Edo period (1615–1868) mid-19th century Japan Stoneware with iron glaze (Takatori ware) H. 3 3/4 in. (9.5 cm); Diam. 5 3/4...,0,,
49013,Ming (1368–1644) or Qing (1644–1911) dynasty,Image: 9 1/2 × 20 1/8 in. (24.1 × 51.1 cm),Paintings,Inscription: Artist&#x27;s signature (1 column in semi-cursive script):Yilin 逸麟Artist&#x27;s sealChenhu		臣虎Collectors’ sealsGu Luofu顧洛阜 (John M,0,,
