object_number,is_highlight,is_public_domain,object_id,gallery_number,department,title,culture,object_date,object_begin_date,object_end_date,medium,credit_line
1989.363.45,False,True,45673,211,Asian Art,Landscape of the four seasons,China,15th century,1400,1499,Handscroll; ink and color on silk,"Bequest of John M. Crawford Jr., 1988"
79.2.1223,False,True,45965,201,Asian Art,Vase with entwined dragon,China,late 17th–early 18th century,1668,1722,"Porcelain painted in overglaze polychrome enamels, and relief decoration with dark blue glaze and gilt (Jingdezhen ware)","Purchase by subscription, 1879"
57.70.5,False,True,45753,231,Asian Art,Street Scenes in Kyoto,Japan,late 17th century,1667,1699,Handscroll; ink and color on paper,"Gift of Edward M. Bratter, 1957"
79.2.634,False,True,46904,201,Asian Art,Saucer with Butterflies,China,18th century,1736,1795,Porcelain painted with colored enamels and gilded (Jingdezhen ware),"Purchase by subscription, 1879"
79.2.633,False,True,46905,201,Asian Art,Cup with Butterflies,China,18th century,1736,1795,"Porcelain painted with colored enamels and gilded (Jingdezhen ware)

","Purchase by subscription, 1879"
79.2.1375,False,True,46915,220,Asian Art,Vase,China,,1736,1795,Porcelain painted in underglaze cobalt blue and overglaze polychrome enamels (Jingdezhen ware),"Purchase by subscription, 1879"
23.225.151,False,True,46509,201,Asian Art,"Dish in Shape of Japanese Court Woman

",Japan,ca. 1780,1770,1790,"Porcelain decorated with colored enamels over transparent glaze (Hizen ware; Imari type)

","Gift of Mrs. V. Everit Macy, 1923"
36.120.654,False,True,47258,231,Asian Art,Sake Bottle (Tokkuri) in the Shape of an Eggplant,Japan,second half 19th century,1850,1899,Stoneware with iridescent iron glaze and rice straw ash (Bairin ware),"The Howard Mansfield Collection, Gift of Howard Mansfield, 1936"
17.120.198,False,True,47320,221,Asian Art,Vase with openwork pattern of flowers,China,mid-18th century,1736,1766,Porcelain painted in overglaze enamels (Jingdezhen ware),"Mr. and Mrs. Isaac D. Fletcher Collection, Bequest of Isaac D. Fletcher, 1917"
79.2.295,False,True,47429,213,Asian Art,Vase with scholars in a garden,China,late 17th–early 18th century,1668,1733,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),"Purchase by subscription, 1879"
1975.268.613,False,True,63648,229,Asian Art,Ishizara with Warbler on a Flowering Plum Branch,Japan,early 19th century,1800,1833,Stoneware with iron brown and cobalt blue under transparent glaze (Seto ware),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.615,False,True,63651,229,Asian Art,Ishizara with Horse and “Horse-Eye” Pattern,Japan,early 19th century,1800,1833,Stoneware with iron brown under transparent glaze (Seto ware),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.616,False,True,63652,229,Asian Art,Ishizara with “Horse-Eye” Pattern,Japan,early 19th century,1800,1833,Stoneware with iron brown under transparent glaze (Seto ware),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.626,False,True,63696,229,Asian Art,Set of Three Everyday Vessels (Kurawanka Bowls) with Flowers,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type) 
","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.627,False,True,63698,229,Asian Art,Set of Three Everyday Vessels (Kurawanka Bowls) with Flowers,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.628,False,True,63699,229,Asian Art,Set of Three Everyday Vessels (Kurawanka Bowls) with Flowers,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.631,False,True,63701,229,Asian Art,Set of Five Everyday Vessels (Kurawanka Bowls),Japan,early 19th century,1800,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.632,False,True,63702,229,Asian Art,Set of Five Everyday Vessels (Kurawanka Bowls),Japan,early 19th century,1800,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.635,False,True,63706,229,Asian Art,くらわんか碗　5口,Japan,early 19th century,1800,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.643,False,True,63711,231,Asian Art,Set of Five Soba Cups (Soba Choko) with Swirl Patterns,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.645,False,True,63713,231,Asian Art,Set of Five Soba Cups (Soba Choko) with Swirl Patterns,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.646,False,True,63714,231,Asian Art,Set of Five Soba Cups (Soba Choko) with Swirl Patterns,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.663,False,True,63733,231,Asian Art,Set of Five Soba Cups (Soba choko) with Interlinked Circles (Shippō),Japan,second half 18th century,1750,1799,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.665,False,True,63735,231,Asian Art,Set of Five Soba Cups (Soba choko) with Interlinked Circles (Shippō),Japan,second half 18th century,1750,1799,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.666,False,True,63736,231,Asian Art,Set of Five Soba Cups (Soba choko) with Interlinked Circles (Shippō),Japan,second half 18th century,1750,1799,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.673,False,True,63744,231,Asian Art,Set of Five Sencha Teacups (Sencha wan) with Lattice Pattern,Japan,18th century,1700,1799,Porcelain painted with cobalt blue under a transparent glaze (Hizen ware),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.677,False,True,63748,231,Asian Art,Set of Five Sencha Teacups (Sencha wan) with Lattice Pattern,Japan,early 18th century18th century,1700,1799,Porcelain painted with cobalt blue under a transparent glaze (Hizen ware),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
66.155.3,False,True,63530,223,Asian Art,Dish with Assorted Treasures Floating on Waves,Japan,late 17th–early 18th century,1667,1733,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Nabeshima type)","Gift of Harold G. Henderson, 1966"
2002.131,True,True,63532,250,Asian Art,Seated Buddha,Thailand,15th century,1400,1450,Bronze,"Purchase, The J. H. W. Thompson Foundation Gift and Gifts of friends of Jim Thompson, in his memory, 2002"
1975.268.457,False,True,63565,227,Asian Art,"Jar (Tsubo) with Stylized Net Design 

",Japan,ca. 1620–40,1620,1640,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.490,False,True,63589,230,Asian Art,Set of Five Small Dishes (Kozara) with Flowering Plum and Warbler,Japan,ca. 1640s,1630,1650,"Porcelain with cobalt blue under transparent glaze and iron-brown rim (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.491,False,True,63590,230,Asian Art,Set of Five Small Dishes (Kozara) with Flowering Plum and Warbler,Japan,ca. 1640s,1630,1650,"Porcelain with cobalt blue under transparent glaze and iron-brown rim (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.515,False,True,63600,231,Asian Art,Set of Five Small Dishes (Kozara) with Turnip,Japan,mid-17th century,1634,1666,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.516,False,True,63601,231,Asian Art,Set of Five Small Dishes (Kozara) with Turnip,Japan,mid-17th century,1634,1666,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.548,False,True,63624,230,Asian Art,Small Dish with Floral Design,Japan,ca. 1650s,1650,1659,"Porcelain with cobalt blue under transparent glaze and polychrome enamels over the glaze (Hizen ware, Nabeshima type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
2001.770.1,False,True,64116,246,Asian Art,Seated Buddha Flanked by Two Bodhisattvas,Thailand,7th–9th century,550,950,Terracotta,"Gift of Michael Phillips and Juliana Maio, 2001"
